ID,Agree_IN,ASQ1,ASQ1A,ASQ1B,ASQ1C,ASQ2A,ASQ2AC,SQ1,SQ2,SQ3,SQ4,SQ5,SQ5A,SQ5AA,AQ1,ATQ1_7,AQ1A,AQ1B,Q1,Q1A,RQ1A,Q1B_1,Q1B_2,Q1B_3,Q1B_4,Q1B_5,Q1B_6,Q1B_7,Q1B_8,TQ1B_8,Q2,RQ2,Q3,RQ3,Q4,Q5,Q5A,Q6,Q6A,Q7,RQ7,Q7A_1_1,Q7A_1_2,Q7A_1_3,Q7A_1_4,TQ7A_1_4,Q7A_1_5,Q7A_2_1,Q7A_2_2,Q7A_2_3,Q7A_2_4,TQ7A_2_4,Q7A_2_5,Q7A_3_1,Q7A_3_2,Q7A_3_3,Q7A_3_4,TQ7A_3_4,Q7A_3_5,Q7A_4_1,Q7A_4_2,Q7A_4_3,Q7A_4_4,TQ7A_4_4,Q7A_4_5,Q7A_5_1,Q7A_5_2,Q7A_5_3,Q7A_5_4,TQ7A_5_4,Q7A_5_5,Q7A_6_1,Q7A_6_2,Q7A_6_3,Q7A_6_4,TQ7A_6_4,Q7A_6_5,Q7A_7_1,Q7A_7_2,Q7A_7_3,Q7A_7_4,TQ7A_7_4,Q7A_7_5,Q7A_8_1,Q7A_8_2,Q7A_8_3,Q7A_8_4,TQ7A_8_4,Q7A_8_5,Q7A_9_1,Q7A_9_2,Q7A_9_3,Q7A_9_4,TQ7A_9_4,Q7A_9_5,Q7A_10_1,Q7A_10_2,Q7A_10_3,Q7A_10_4,TQ7A_10_4,Q7A_10_5,Q7A_11_1,Q7A_11_2,Q7A_11_3,Q7A_11_4,TQ7A_11_4,Q7A_11_5,Q7A_12_1,Q7A_12_2,Q7A_12_3,Q7A_12_4,TQ7A_12_4,Q7A_12_5,Q7A_13_1,Q7A_13_2,Q7A_13_3,Q7A_13_4,TQ7A_13_4,Q7A_13_5,Q7A_14_1,Q7A_14_2,Q7A_14_3,Q7A_14_4,TQ7A_14_4,Q7A_14_5,Q7A_15_1,Q7A_15_2,Q7A_15_3,Q7A_15_4,TQ7A_15_4,Q7A_15_5,Q7A_16_1,Q7A_16_2,Q7A_16_3,Q7A_16_4,TQ7A_16_4,Q7A_16_5,Q7A_17_1,Q7A_17_2,Q7A_17_3,Q7A_17_4,TQ7A_17_4,Q7A_17_5,Q7A_18_1,Q7A_18_2,Q7A_18_3,Q7A_18_4,TQ7A_18_4,Q7A_18_5,Q7A_19_1,Q7A_19_2,Q7A_19_3,Q7A_19_4,TQ7A_19_4,Q7A_19_5,Q7A_20_1,Q7A_20_2,Q7A_20_3,Q7A_20_4,TQ7A_20_4,Q7A_20_5,DQ1,DQ2,TDQ2_10,DQ3,DQ3A,DQ4,DQ4A_1,DQ4A_2,DQ4A_3,DQ4A_4,DQ4A_5,DQ4A_6,DQ7A_7,TDQ4A_7,DQ5,TDQ5_11,DQ6,TDQ6_11,D_SQ1,D_SQ2,D_SQ3,D_SQ4,D_SQ5AA,D_DQ1,D_DQ2,D_DQ3,D_DQ3A,D_DQ4,D_DQ5,D_DQ6,WT
82,Y,,,,,,,2,61,11,3,2021-12-16 오전 11:59:52,3,5,,,,,1,2,2,,2,,,,,,,,5,4,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,2,1,,,,,,,,6,,7,,2,10,3,3,1,3,,1,,2,3,4,1.25
83,Y,,,,,,,2,28,1,1,2021-12-16 오전 11:55:44,3,5,,,,,1,10,5,,2,,,,,,,,2,2,3,3,3,1,2,2,3,10,5,7,2,4,2,,2,8,2,4,2,,2,8,2,4,2,,2,9,2,3,2,,2,7,1,5,1,,1,1,2,5,1,,1,9,1,4,2,,2,9,2,5,2,,2,8,2,4,2,,2,8,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,3,1,2,,,,,,,6,,7,,2,6,1,1,1,1,2,3,2,3,3,4,1.27
84,Y,,,,,,,1,39,12,3,2021-12-16 오전 11:55:40,3,5,,,,,1,9,5,,2,,,,,,,,2,2,1,1,3,1,1,1,1,2,2,2,1,2,1,,1,1,1,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,5,2,4,1,2,,,,,,,7,,8,,1,7,3,3,1,1,1,4,2,4,4,4,1.07
85,Y,,,,,,,1,44,9,2,2021-12-16 오후 12:00:02,3,5,,,,,2,,,,,,,,,,,,2,2,0,0,3,1,1,2,1,5,4,8,2,4,1,,2,3,1,4,1,,1,7,1,2,2,,2,6,2,2,2,,2,6,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,1,3,1,2,,,,,,,6,,7,,1,8,2,2,1,1,1,3,1,3,3,4,1.18
86,Y,,,,,,,2,45,4,1,2021-12-16 오전 11:55:43,3,5,,,,,1,10,5,,2,,,,,,,,2,2,1,1,2,1,2,2,1,4,3,11,2,4,1,,1,10,2,3,2,,2,10,1,3,2,,2,8,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,2,,,3,,,,,,5,,6,,2,8,2,1,1,1,2,3,2,2,3,3,1.22
87,Y,,,,,,,2,50,6,1,2021-12-16 오전 11:56:58,3,5,,,,,1,2,2,,,3,,,,,,,1,1,1,1,2,1,2,1,3,3,3,9,1,4,1,,1,6,2,4,1,,1,6,1,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,2,4,1,2,,,,,,,9,,10,,2,9,3,1,1,3,,3,2,4,4,4,1.25
88,Y,,,,,,,1,30,1,1,2021-12-16 오전 11:56:28,3,5,,,,,1,10,5,,2,,,,,,,,1,1,0,0,2,1,1,2,4,10,5,9,1,3,2,,2,8,1,3,2,,2,6,1,4,2,,2,6,1,4,2,,2,7,1,2,2,,2,7,1,3,2,,2,7,1,3,2,,2,10,2,4,1,,2,10,1,4,1,,2,7,1,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,1,4,,,3,,,6,,,6,,11,170000000,1,7,1,1,1,1,1,3,1,4,3,4,1.17
89,Y,,,,,,,2,51,9,2,2021-12-16 오전 11:58:16,3,5,,,,,1,14,6,,2,,,,,,,,2,2,1,1,2,1,2,1,4,10,5,11,1,1,2,,2,9,2,1,2,,2,11,2,1,2,,2,11,1,1,2,,2,10,1,1,2,,2,10,2,1,2,,2,10,2,1,2,,2,9,1,5,1,,1,6,1,4,1,,2,6,2,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,1,,4,1,2,,,,,,,8,,9,,2,9,2,2,1,1,2,1,,4,4,4,1.19
90,Y,,,,,,,2,63,1,1,2021-12-16 오전 11:56:47,3,5,,,,,1,8,4,,2,,,,,,,,5,4,3,3,4,1,4,1,4,2,2,10,2,3,2,,2,10,1,2,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,1,4,1,2,,,,,,,5,,6,,2,10,1,1,1,3,,2,1,4,3,3,1.17
91,Y,,,,,,,2,41,1,1,2021-12-16 오전 11:59:19,3,5,,,,,1,10,5,,2,,,,,,,,3,3,1,1,3,1,3,1,3,10,5,8,2,3,5,,2,7,2,3,5,,2,7,1,1,5,,2,7,1,1,2,,2,6,2,1,1,,2,6,2,2,1,,2,6,2,2,2,,2,6,2,2,2,,2,6,2,1,2,,2,6,2,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,3,2,1,,,,,,,,,7,,7,,2,8,1,1,1,1,2,2,2,1,4,4,1.14
92,Y,,,,,,,2,32,16,2,2021-12-16 오전 11:57:30,3,5,,,,,1,10,5,,2,,,,,,,,2,2,0,0,4,1,7,1,3,10,5,7,1,1,2,,2,8,1,1,2,,2,9,2,1,2,,2,7,1,1,2,,2,10,1,1,2,,2,9,1,1,2,,2,7,1,1,2,,2,7,2,1,2,,2,9,1,1,2,,2,8,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,2,1,,,,,,,,4,,6,,2,7,6,2,1,1,2,3,2,2,2,3,1.16
93,Y,,,,,,,2,48,9,2,2021-12-16 오전 11:58:52,3,5,,,,,1,6,4,,2,,,,,,,,1,1,0,0,4,3,3,1,4,4,3,8,2,4,2,,2,8,2,4,2,,2,8,2,4,2,,2,9,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,4,2,3,1,2,,,,,,,3,,10,,2,8,2,2,1,2,3,3,2,3,2,4,1.22
94,Y,,,,,,,2,45,6,1,2021-12-16 오전 11:59:02,3,5,,,,,1,1,2,,2,,,,,,,,2,2,0,0,1,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,2,4,1,2,,,,,,,8,,11,130000000,2,8,3,1,1,1,1,3,2,4,4,4,0.99
