ID,Agree_IN,ASQ1,ASQ1A,ASQ1B,ASQ1C,ASQ2A,ASQ2AC,SQ1,SQ2,SQ3,SQ4,SQ5,SQ5A,SQ5AA,AQ1,ATQ1_7,AQ1A,AQ1B,Q1,Q1A,RQ1A,Q1B_1,Q1B_2,Q1B_3,Q1B_4,Q1B_5,Q1B_6,Q1B_7,Q1B_8,TQ1B_8,Q2,RQ2,Q3,RQ3,Q4,Q5,Q5A,Q6,Q6A,Q7,RQ7,Q7A_1_1,Q7A_1_2,Q7A_1_3,Q7A_1_4,TQ7A_1_4,Q7A_1_5,Q7A_2_1,Q7A_2_2,Q7A_2_3,Q7A_2_4,TQ7A_2_4,Q7A_2_5,Q7A_3_1,Q7A_3_2,Q7A_3_3,Q7A_3_4,TQ7A_3_4,Q7A_3_5,Q7A_4_1,Q7A_4_2,Q7A_4_3,Q7A_4_4,TQ7A_4_4,Q7A_4_5,Q7A_5_1,Q7A_5_2,Q7A_5_3,Q7A_5_4,TQ7A_5_4,Q7A_5_5,Q7A_6_1,Q7A_6_2,Q7A_6_3,Q7A_6_4,TQ7A_6_4,Q7A_6_5,Q7A_7_1,Q7A_7_2,Q7A_7_3,Q7A_7_4,TQ7A_7_4,Q7A_7_5,Q7A_8_1,Q7A_8_2,Q7A_8_3,Q7A_8_4,TQ7A_8_4,Q7A_8_5,Q7A_9_1,Q7A_9_2,Q7A_9_3,Q7A_9_4,TQ7A_9_4,Q7A_9_5,Q7A_10_1,Q7A_10_2,Q7A_10_3,Q7A_10_4,TQ7A_10_4,Q7A_10_5,Q7A_11_1,Q7A_11_2,Q7A_11_3,Q7A_11_4,TQ7A_11_4,Q7A_11_5,Q7A_12_1,Q7A_12_2,Q7A_12_3,Q7A_12_4,TQ7A_12_4,Q7A_12_5,Q7A_13_1,Q7A_13_2,Q7A_13_3,Q7A_13_4,TQ7A_13_4,Q7A_13_5,Q7A_14_1,Q7A_14_2,Q7A_14_3,Q7A_14_4,TQ7A_14_4,Q7A_14_5,Q7A_15_1,Q7A_15_2,Q7A_15_3,Q7A_15_4,TQ7A_15_4,Q7A_15_5,Q7A_16_1,Q7A_16_2,Q7A_16_3,Q7A_16_4,TQ7A_16_4,Q7A_16_5,Q7A_17_1,Q7A_17_2,Q7A_17_3,Q7A_17_4,TQ7A_17_4,Q7A_17_5,Q7A_18_1,Q7A_18_2,Q7A_18_3,Q7A_18_4,TQ7A_18_4,Q7A_18_5,Q7A_19_1,Q7A_19_2,Q7A_19_3,Q7A_19_4,TQ7A_19_4,Q7A_19_5,Q7A_20_1,Q7A_20_2,Q7A_20_3,Q7A_20_4,TQ7A_20_4,Q7A_20_5,DQ1,DQ2,TDQ2_10,DQ3,DQ3A,DQ4,DQ4A_1,DQ4A_2,DQ4A_3,DQ4A_4,DQ4A_5,DQ4A_6,DQ7A_7,TDQ4A_7,DQ5,TDQ5_11,DQ6,TDQ6_11,D_SQ1,D_SQ2,D_SQ3,D_SQ4,D_SQ5AA,D_DQ1,D_DQ2,D_DQ3,D_DQ3A,D_DQ4,D_DQ5,D_DQ6,WT
667,Y,,,,,,,2,50,1,1,2021-12-17 오전 12:30:18,4,5,,,,,1,8,4,,2,,,,,,,,3,3,1,1,1,2,1,2,4,5,4,10,1,4,1,,2,9,2,3,2,,2,9,2,3,2,,2,9,2,3,2,,2,9,1,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,2,1,,,,,,,,6,,7,,2,9,1,1,1,1,2,3,2,2,3,4,1.17
669,Y,,,,,,,1,60,9,2,2021-12-17 오전 12:32:26,4,5,,,,,1,10,5,,,,4,,,,,,3,3,0,0,3,1,3,1,2,6,4,8,1,3,2,,2,8,1,2,2,,2,9,1,2,2,,2,9,2,2,2,,2,10,2,3,1,,2,7,2,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,5,1,4,1,2,,,,,,,9,,10,,1,10,2,2,1,1,1,4,1,4,4,4,1.16
670,Y,,,,,,,2,29,4,1,2021-12-17 오전 12:32:13,4,5,,,,,1,5,3,,2,,,,,,,,1,1,1,1,3,2,3,1,3,3,3,6,2,2,6,,2,6,2,3,5,,2,10,2,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,4,,,3,,,6,,,7,,8,,2,6,2,1,1,1,2,3,2,4,4,4,1.26
671,Y,,,,,,,2,40,6,1,2021-12-17 오전 12:44:12,4,5,,,,,1,12,6,,2,,,,,,,,3,3,0,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,3,,,3,,,6,,,5,,7,,2,8,3,1,1,1,2,3,2,3,3,4,0.99
672,Y,,,,,,,2,29,9,2,2021-12-17 오전 12:44:13,4,5,,,,,1,3,3,,2,,,,,,,,3,3,0,0,1,1,1,1,1,2,2,10,1,1,5,,2,7,1,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,1,3,1,2,,,,,,,5,,6,,2,6,2,2,1,3,,3,1,3,3,3,1.26
674,Y,,,,,,,2,60,11,3,2021-12-17 오전 12:53:41,4,5,,,,,1,1,2,,2,,,,,,,,1,1,0,0,2,2,3,2,4,1,1,10,1,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,2,1,,,,,,,,5,,6,,2,10,3,3,1,3,,1,,2,3,3,1.25
677,Y,,,,,,,2,57,3,1,2021-12-17 오전 1:05:18,4,5,,,,,1,9,5,,,3,4,,,7,,,2,2,1,1,3,2,2,1,3,2,2,10,1,1,1,,1,7,1,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,4,1,2,,,,,,,10,,11,108000000,2,9,5,1,1,1,1,1,,4,4,4,1.12
678,Y,,,,,,,2,65,2,1,2021-12-17 오전 1:08:19,4,5,,,,,2,,,,,,,,,,,,1,1,0,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,2,,3,,,,,,6,,,3,,4,,2,10,6,1,1,2,3,1,,3,2,2,1.23
679,Y,,,,,,,1,40,9,2,2021-12-17 오전 1:31:33,4,5,,,,,1,8,4,,2,,,,,,,,3,3,0,0,3,1,1,1,2,10,5,7,1,1,2,,2,7,1,1,2,,2,7,1,1,2,,2,7,1,1,2,,2,7,1,1,2,,2,7,1,1,2,,2,7,1,1,2,,2,8,1,1,2,,2,8,1,1,2,,2,8,2,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,4,1,2,,,,,,,9,,10,,1,8,2,2,1,1,2,3,2,4,4,4,1.18
680,Y,,,,,,,1,28,6,1,2021-12-17 오전 1:32:32,4,5,,,,,1,10,5,,,3,4,,6,7,,,0,0,0,0,3,1,3,1,4,8,4,8,2,2,2,,2,8,2,1,2,,1,7,1,1,2,,2,6,1,1,2,,2,9,2,1,1,,2,10,1,2,1,,2,7,1,1,2,,2,7,2,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,1,3,,,3,,,,,,10,,11,110000000,1,6,3,1,1,1,1,3,1,3,4,4,1.29
682,Y,,,,,,,1,63,2,1,2021-12-17 오전 1:40:28,4,5,,,,,1,7,4,,2,,,,,,,,2,2,1,1,3,2,3,2,2,3,3,8,1,2,5,,1,9,2,2,4,,1,6,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,2,4,1,2,,,,,,,7,,10,,1,10,6,1,1,1,1,3,2,4,4,4,1.08
683,Y,,,,,,,1,29,1,1,2021-12-17 오전 1:42:18,4,5,,,,,1,10,5,,2,,,,,,,,4,3,4,3,2,2,2,1,4,3,3,7,2,3,1,,2,10,1,3,1,,2,10,2,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,5,2,3,,,3,,,6,,,2,,5,,1,6,1,1,1,2,2,4,2,3,1,3,1.18
685,Y,,,,,,,2,27,1,1,2021-12-17 오전 1:51:02,4,5,,,,,1,8,4,,,,4,,,,,,2,2,1,1,3,3,3,1,4,6,4,9,2,3,1,,2,9,1,3,1,,2,7,2,3,2,,2,6,2,3,2,,2,7,1,2,2,,2,7,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,1,3,,,3,,,,,,5,,6,,2,6,1,1,1,1,2,3,1,3,3,3,1.27
686,Y,,,,,,,2,26,1,1,2021-12-17 오전 1:57:53,4,5,,,,,1,1,2,,2,,,,,,,,2,2,0,0,2,1,1,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,2,1,,,,,,,,,5,,5,,2,6,1,1,1,3,,3,2,1,3,3,1.27
687,Y,,,,,,,2,21,2,1,2021-12-17 오전 2:14:47,4,5,,,,,1,7,4,,2,,,,,,,,10,4,3,3,2,2,2,1,3,1,1,6,2,4,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,2,2,,,,,,6,,,2,,3,,2,6,6,1,1,3,,3,2,2,1,2,1.08
688,Y,,,,,,,2,63,9,2,2021-12-17 오전 2:18:15,4,5,,,,,1,1,2,,,,,,,7,,,2,2,0,0,3,1,1,1,3,5,4,9,1,4,1,,2,7,2,4,1,,2,7,1,2,1,,2,2,1,4,1,,1,1,1,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,1,6,1,2,,4,,,,,1,,5,,2,10,2,2,1,3,,3,1,5,1,3,1.22
689,Y,,,,,,,1,62,9,2,2021-12-17 오전 2:25:40,4,5,,,,,1,7,4,,2,,,,,,,,2,2,1,1,4,6,4,1,4,2,2,10,1,1,10,공공시설,2,11,2,3,10,길거리,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,1,1,,,,,,,,,1,,1,,1,10,2,2,1,3,,3,1,1,1,1,1.16
690,Y,,,,,,,2,50,12,2,2021-12-17 오전 2:36:07,4,5,,,,,1,2,2,,2,,,,,,,,3,3,2,2,1,1,1,1,1,1,1,5,2,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,2,,2,,,,,,,1,,2,,2,9,3,2,1,3,,1,,2,1,1,1.25
692,Y,,,,,,,1,60,9,2,2021-12-17 오전 3:25:06,4,5,,,,,1,5,3,,2,,,,,,,,3,3,2,2,3,2,2,1,3,2,2,9,2,3,1,,2,6,1,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,5,1,4,1,2,,,,,,,11,200000000,11,200000000,1,10,2,2,1,1,1,4,1,4,4,4,1.16
693,Y,,,,,,,2,42,9,2,2021-12-17 오전 3:32:49,4,5,,,,,1,3,3,,2,,,,,,,,3,3,1,1,3,1,1,1,4,2,2,10,2,3,9,,2,8,2,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,2,2,1,,,,,,,,5,,6,,2,8,2,2,1,3,,3,2,2,3,3,1.22
694,Y,,,,,,,2,64,3,1,2021-12-17 오전 4:21:20,4,5,,,,,1,8,4,,,,4,5,,,,,3,3,0,0,4,1,4,1,4,2,2,10,1,2,1,,2,8,1,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,4,1,2,,,,,,,2,,6,,2,10,5,1,1,3,,1,,4,1,3,1.29
695,Y,,,,,,,2,62,2,1,2021-12-17 오전 5:08:34,4,5,,,,,1,8,4,,2,,,,,,,,1,1,0,0,1,1,1,1,4,6,4,11,2,1,2,,2,9,2,1,2,,2,10,1,2,1,,2,7,1,2,1,,2,7,2,2,1,,2,9,2,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,1,,4,1,2,,,,,,,3,,10,,2,10,6,1,1,1,4,1,,4,2,4,1.23
696,Y,,,,,,,1,63,16,2,2021-12-17 오전 5:09:17,4,5,,,,,1,6,4,,2,,,,,,,,1,1,1,1,4,1,4,1,4,2,2,9,1,1,5,,2,9,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,1,3,,,3,,,,,,5,,6,,1,10,6,2,1,1,2,3,1,3,3,3,1.08
697,Y,,,,,,,1,35,3,1,2021-12-17 오전 5:28:40,4,5,,,,,1,8,4,,2,,,,,,,,2,2,3,3,4,2,2,1,1,2,2,8,1,3,5,,2,8,2,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,2,4,,,3,,,6,,,10,,11,110000000,1,7,5,1,1,1,1,3,2,4,4,4,1.3
698,Y,,,,,,,1,25,15,2,2021-12-17 오전 5:28:15,4,5,,,,,2,,,,,,,,,,,,3,3,1,1,4,1,4,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,2,2,,,3,,,,,,1,,3,,1,6,5,2,1,3,,2,2,2,1,2,1.29
700,Y,,,,,,,1,66,16,2,2021-12-17 오전 5:55:53,4,5,,,,,1,12,6,,2,,,,,,,,3,3,2,2,2,1,2,1,1,10,5,10,1,1,2,,2,10,1,1,2,,2,9,1,1,2,,2,9,1,1,2,,2,10,2,1,2,,2,9,1,1,2,,2,9,1,1,2,,1,10,1,1,2,,1,8,2,1,2,,2,8,2,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,2,,2,1,,,,,,,,4,,5,,1,10,6,2,1,1,4,1,,2,2,3,1.08
702,Y,,,,,,,1,52,6,1,2021-12-17 오전 6:10:17,4,5,,,,,1,14,6,,2,,,,,,,,5,4,1,1,3,1,3,2,3,2,2,9,1,3,5,,2,8,1,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,4,1,4,1,2,,,,,,,9,,10,,1,9,3,1,1,1,3,3,1,4,4,4,1.21
704,Y,,,,,,,2,60,9,2,2021-12-17 오전 6:19:19,4,5,,,,,1,10,5,,,3,,5,6,7,,,8,4,3,3,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,1,4,1,2,3,,,,,,1,,9,,2,10,2,2,1,3,,3,1,4,1,4,1.22
706,Y,,,,,,,1,41,1,1,2021-12-17 오전 6:26:54,4,5,,,,,1,15,6,,2,,,,,,,,1,1,0,0,2,2,1,1,1,3,3,8,1,4,5,,2,8,1,4,5,,2,8,1,4,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,5,2,1,,,,,,,,,9,,9,,1,8,1,1,1,1,2,4,2,1,4,4,1.19
707,Y,,,,,,,2,46,14,2,2021-12-17 오전 6:36:05,4,5,,,,,1,17,6,,2,,,,,,,,10,4,10,4,5,1,3,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,2,5,1,2,3,,,,,,1,,2,,2,8,4,2,1,3,,3,2,5,1,1,1.05
708,Y,,,,,,,1,62,9,2,2021-12-17 오전 6:42:21,4,5,,,,,1,5,3,,2,,,,,,,,2,2,1,1,1,1,1,1,4,1,1,10,2,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,5,2,2,1,,,,,,,,10,,11,210000000,1,10,2,2,1,3,,4,2,2,4,4,1.16
734,Y,,,,,,,1,65,9,2,2021-12-17 오전 9:20:29,4,5,,,,,1,12,6,,2,,,,,,,,1,1,1,1,3,1,3,1,4,5,4,6,1,1,2,,2,9,2,1,2,,2,10,2,3,1,,2,7,1,2,1,,2,7,1,1,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,3,1,2,,,,,,,4,,5,,1,10,2,2,1,1,2,3,2,3,2,3,1.16
735,Y,,,,,,,2,66,12,2,2021-12-17 오전 9:19:19,4,5,,,,,1,5,3,,2,,,,,,,,2,2,1,1,3,1,2,4,5,3,3,10,1,2,7,,2,9,2,3,7,,2,10,2,3,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,2,,4,1,,,,,,,,4,,5,,2,10,3,2,1,2,4,1,,4,2,3,1.25
736,Y,,,,,,,2,64,3,1,2021-12-17 오전 9:31:06,4,5,,,,,1,9,5,,2,,,,,,,,2,2,1,1,2,1,1,1,2,10,5,10,2,3,2,,2,9,2,4,2,,2,6,1,1,6,,2,9,2,2,2,,2,6,2,3,1,,2,8,2,1,2,,2,11,2,1,7,,2,10,2,1,2,,2,7,1,1,6,,2,9,2,2,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,프리랜서,2,,4,1,2,,,,,,,6,,7,,2,10,5,1,1,1,5,1,,4,3,4,1.29
737,Y,,,,,,,1,62,1,1,2021-12-17 오전 9:37:09,4,5,,,,,1,10,5,,2,,,,,,,,3,3,1,1,4,1,1,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,4,1,1,,,,,,,,,8,,8,,1,10,1,1,1,1,4,3,1,1,4,4,1.13
740,Y,,,,,,,2,66,4,1,2021-12-17 오전 9:42:07,4,5,,,,,1,11,5,,2,,,,,,,,2,2,5,4,2,4,1,1,4,2,2,10,2,3,5,,2,9,2,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,4,2,2,1,,,,,,,,6,,10,,2,10,2,1,1,2,1,3,2,2,3,4,1.22
741,Y,,,,,,,2,59,3,1,2021-12-17 오전 10:14:57,4,5,,,,,1,8,4,,,,4,5,6,,,,2,2,0,0,3,1,1,5,4,10,5,10,1,2,1,,2,9,2,3,2,,2,9,1,1,5,,2,10,2,1,5,,2,10,1,2,2,,2,8,1,1,2,,2,9,1,1,2,,2,8,2,2,2,,2,8,2,1,2,,2,10,2,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,3,1,2,,,,,,,6,,8,,2,9,5,1,1,1,2,3,2,3,3,4,1.12
744,Y,,,,,,,2,25,15,3,2021-12-17 오전 10:26:29,4,5,,,,,1,6,4,,2,,,,,,,,2,2,0,0,3,2,3,3,3,3,3,6,1,4,1,,2,9,1,4,1,,2,9,2,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,2,4,,,3,,,6,,,4,,7,,2,6,5,3,1,1,1,3,2,4,2,4,1.07
746,Y,,,,,,,1,70,9,2,2021-12-17 오전 10:44:54,4,5,,,,,1,5,3,,2,,,,,,,,3,3,2,2,1,1,1,4,2,1,1,8,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,5,1,3,1,,3,,,,,,10,,11,120000000,1,10,2,2,1,2,1,4,1,3,4,4,1.16
747,Y,,,,,,,1,64,1,1,2021-12-17 오전 10:49:10,4,5,,,,,1,4,3,,2,,,,,,,,1,1,1,1,6,3,2,1,2,3,3,8,2,1,5,,2,9,1,1,6,,2,9,1,1,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,2,3,1,2,,,,,,,7,,9,,1,10,1,1,1,1,1,3,2,3,4,4,1.13
748,Y,,,,,,,2,20,5,1,2021-12-17 오전 10:57:17,4,5,,,,,1,5,3,,2,,,,,,,,2,2,1,1,4,3,4,3,4,1,1,6,2,2,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,1,4,,,3,,,6,,,1,,7,,2,6,4,1,1,3,,2,1,4,1,4,1.32
750,Y,,,,,,,1,67,1,1,2021-12-17 오전 11:07:43,4,5,,,,,1,14,6,,2,,,,,,,,2,2,0,0,4,4,3,3,4,10,5,10,1,3,2,,2,10,1,3,2,,1,9,1,3,2,,2,10,1,4,5,,2,9,1,3,5,,2,9,1,3,5,,2,10,1,4,5,,2,9,1,2,5,,2,10,2,2,5,,2,10,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,1,4,1,2,,,,,,,7,,8,,1,10,1,1,1,1,1,3,1,4,4,4,1.13
757,Y,,,,,,,1,23,16,2,2021-12-17 오후 12:16:14,4,5,,,,,1,12,6,,2,,,,,,,,2,2,3,3,2,2,2,1,2,5,4,8,2,3,2,,2,8,2,3,2,,2,6,2,3,2,,2,8,2,3,2,,2,8,2,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,2,,3,,,3,,,6,,,1,,4,,1,6,6,2,1,1,4,1,,3,1,2,1.16
758,Y,,,,,,,2,27,16,2,2021-12-17 오후 12:21:04,4,5,,,,,1,10,5,,2,,,,,,,,0,0,0,0,4,1,3,1,4,19,5,12,2,1,2,,1,8,1,1,2,,1,10,1,1,2,,1,11,2,1,2,,1,11,2,1,2,,1,9,2,1,2,,1,12,1,1,2,,1,10,1,1,2,,1,10,2,1,2,,1,11,1,1,2,,1,10,2,1,2,,1,10,2,1,2,,1,9,1,3,1,,2,9,2,4,1,,2,6,2,4,1,,1,8,2,5,2,,2,9,2,3,5,,2,8,2,3,5,,2,7,2,1,2,,2,,,,,,,1,2,,4,1,4,1,,,,,6,,,4,,8,,2,6,6,2,1,1,1,3,1,4,2,4,1.08
759,Y,,,,,,,1,29,1,1,2021-12-17 오후 1:12:16,4,5,,,,,1,1,2,,,3,,,6,,,,0,0,0,0,3,2,4,1,4,2,2,9,1,3,1,,2,9,2,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,2,3,,,3,,,,,,1,,7,,1,6,1,1,1,3,,3,2,3,1,4,1.18
